date,feed_per_tank_kg,E01_count,E02_count,E03_count,E04_count,E05_count,E06_count,E07_count,E08_count,E13_count,E14_count,E15_count,E16_count,E01_per_cap_feed,E02_per_cap_feed,E03_per_cap_feed,E04_per_cap_feed,E05_per_cap_feed,E06_per_cap_feed,E07_per_cap_feed,E08_per_cap_feed,E13_per_cap_feed,E14_per_cap_feed,E15_per_cap_feed,E16_per_cap_feed
8/03/2026,,7590.00,9453.50,8354.00,7781.50,7513.00,7422.00,9183.50,8681.50,11860.00,9877.50,10591.50,11833.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
9/03/2026,2,7538.50,9420.30,8326.00,7768.80,7484.00,7412.00,9155.70,8657.80,11807.00,9862.20,10566.20,11810.50,265.30,212.31,240.21,257.44,267.24,269.83,218.44,231.01,169.39,202.79,189.28,169.34
10/03/2026,2,7487.00,9387.00,8298.00,7756.00,7455.00,7402.00,9128.00,8634.00,11754.00,9847.00,10541.00,11788.00,267.13,213.06,241.02,257.86,268.28,270.20,219.11,231.64,170.15,203.11,189.74,169.66
11/03/2026,2,7460.70,9368.30,8264.30,7745.70,7434.70,7394.30,9098.70,8621.30,11697.00,9833.30,10514.70,11771.00,268.07,213.49,242.00,258.21,269.01,270.48,219.81,231.98,170.98,203.39,190.21,169.91
12/03/2026,2,7434.30,9349.70,8230.70,7735.30,7414.30,7386.70,9069.30,8608.70,11640.00,9819.70,10488.30,11754.00,269.02,213.91,242.99,258.55,269.75,270.76,220.52,232.32,171.82,203.67,190.69,170.15
13/03/2026,2,7408.00,9331.00,8197.00,7725.00,7394.00,7379.00,9040.00,8596.00,11583.00,9806.00,10462.00,11737.00,269.98,214.34,243.99,258.90,270.49,271.04,221.24,232.67,172.67,203.96,191.17,170.40
14/03/2026,2,7370.70,9307.30,8169.00,7706.30,7381.30,7370.70,9022.00,8579.00,11546.30,9796.70,10443.30,11726.00,271.34,214.89,244.83,259.53,270.95,271.34,221.68,233.13,173.22,204.15,191.51,170.56
15/03/2026,,7333.30,9283.70,8141.00,7687.70,7368.70,7362.30,9004.00,8562.00,11509.70,9787.30,10424.70,11715.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
16/03/2026,2,7296.00,9260.00,8113.00,7669.00,7356.00,7354.00,8986.00,8545.00,11473.00,9778.00,10406.00,11704.00,274.12,215.98,246.52,260.79,271.89,271.96,222.57,234.06,174.32,204.54,192.20,170.88
17/03/2026,2,7266.50,9239.50,8094.00,7660.50,7341.00,7349.50,8969.50,8533.50,11426.50,9766.00,10379.50,11687.50,275.24,216.46,247.10,261.08,272.44,272.13,222.98,234.37,175.03,204.79,192.69,171.12
18/03/2026,2,7237.00,9219.00,8075.00,7652.00,7326.00,7345.00,8953.00,8522.00,11380.00,9754.00,10353.00,11671.00,276.36,216.94,247.68,261.37,273.00,272.29,223.39,234.69,175.75,205.04,193.18,171.36
19/03/2026,2,7213.50,9205.00,8059.00,7644.00,7320.50,7339.00,8936.00,8511.00,11359.00,9745.00,10335.00,11659.50,277.26,217.27,248.17,261.64,273.21,272.52,223.81,234.99,176.07,205.23,193.52,171.53
20/03/2026,2,7190.00,9191.00,8043.00,7636.00,7315.00,7333.00,8919.00,8500.00,11338.00,9736.00,10317.00,11648.00,278.16,217.60,248.66,261.92,273.41,272.74,224.24,235.29,176.40,205.42,193.85,171.70
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
